Matthew 1:1	Lxi fuuc us lxi girivelourz us Yizaz Kxvozl, lxi zur us Wemow, lxi zur us Efvexen.
Matthew 1:2	Lxi zur us Efvexen hez Ozeek; erw lxi zur us Ozeek hez Yekuf; erw lxi zurz us Yekuf hivi Yawex erw xoz fvulxivz;
Matthew 1:3	Erw lxi zurz us Yawex hivi Qivid erw Divex fj Lenev; erw lxi zur us Qivid hez Xidvur; erw lxi zur us Xidvur hez Ven;
Matthew 1:4	Erw lxi zur us Ven hez Ennorewef; erw lxi zur us Ennorewef hez Rexzxur; erw lxi zur us Rexzxur hez Zepnur;
Matthew 1:5	Erw lxi zur us Zepnur fj Vexef hez Fued; erw lxi zur us Fued fj Valx hez Ufiw; erw lxi zur us Ufiw hez Yizzi;
Matthew 1:6	Erw lxi zur us Yizzi hez Wemow lxi corg; erw lxi zur us Wemow hez Zupunur fj xiv hxu xew fiir lxi hosi us Avoex;
Matthew 1:7	Erw lxi zur us Zupunur hez Vixufuen; erw lxi zur us Vixufuen hez Efoyex; erw lxi zur us Efoyex hez Eze;
Matthew 1:8	Erw lxi zur us Eze hez Yixuzxeqxel; erw lxi zur us Yixuzxeqxel hez Yuven; erw lxi zur us Yuven hez Addoex;
Matthew 1:9	Erw lxi zur us Addoex hez Yulxen; erw lxi zur us Yulxen hez Exed; erw lxi zur us Exed hez Xidicoex;
Matthew 1:10	Erw lxi zur us Xidicoex hez Nerezzix; erw lxi zur us Nerezzix hez Enur; erw lxi zur us Enur hez Yuzoex;
Matthew 1:11	Erw lxi zurz us Yuzoex hivi Yikxuroex erw xoz fvulxivz, el lxi loni us lxi lecorg ehej lu Fefjpur.
Matthew 1:12	Erw esliv lxi lecorg ehej lu Fefjpur, Yikxuroex xew e zur Zxieploip; erw Zxieploip xew Divaffefip;
Matthew 1:13	Erw Divaffefip xew Efoaw; erw Efoaw xew Ipoecon; erw Ipoecon xew Eduv;
Matthew 1:14	Erw Eduv xew Dewuc; erw Dewuc xew Ekxon; erw Ekxon xew Ipoaw;
Matthew 1:15	Erw Ipoaw xew Ipiedev; erw Ipiedev xew Nellxer; erw Nellxer xew Yekuf;
Matthew 1:16	Erw lxi zur us Yekuf hez Yuziqx lxi xazferw us Nevj, hxu gemi fovlx lu Yizaz, hxuzi reni oz Kxvozl.
